Elementos,OBSERVACIONES,Estado,Uso,Ubicación,Destino,Observaciones,Movimiento,Fecha,Ubicación original,Destino original,Clasificación RUBA,Carga Ruba,ESTADO,NUEVA UBICACIÓN,DESTINO,OPERADOR,Fecha actualización Inventario,Operador carga
"""8"" GRANDE ALADO acero (Descensor 8 rescate)", ,Nuevo,Sí,Cuartel Central,Unidad 9,,,,,,,,,,,,,
"""8"" GRANDE ALADO acero (Descensor 8 rescate)", ,Nuevo,Sí,Cuartel Central,Unidad 9,,,,,,,,,,,,,
10.000 litros, ,Bueno,Sí,Cuartel Central,Unidad 7,,,,,,,,,,,,,
12.000 litros, ,Bueno,Sí,Cuartel Central,Unidad 14,,,,,,,,,,,,,
12.000 litros, ,Bueno,Sí,Destacamento,Unidad 5,,,,,,,,,,,,,
18.000 litros, ,Bueno,Sí,Cuartel Central,Unidad 6,,,,,,,,,,,,,
2.000 litros, ,Bueno,Sí,Cuartel Central,Unidad 3,,,,,,,,,,,,,
4.000 litros, ,Bueno,Sí,Destacamento,Unidad 4,,,,,,,,,,,,,
6.000 litros, ,Bueno,Sí,Cuartel Central,Unidad 10,,,,,,,,,,,,,
8.000 litros, ,Bueno,Sí,Destacamento,Unidad 13,,,,,,,,,,,,,
Absorber, ,Bueno,Sí,Cuartel Central,unidad 9,RTC,,,,,,,,,,Bravo 13,5/30/2022,Bravo 9
Absorber, ,Bueno,Sí,Cuartel Central,unidad 9,RTC,,,,,,,,,,Bravo 13,5/30/2022,Bravo 9
Absorber, ,Bueno,Sí,Cuartel Central,unidad 9,RTC,,,,,,,,,,Bravo 13,5/30/2022,Bravo 9
Absorber, ,Bueno,Sí,Cuartel Central,unidad 9,RTC,,,,,,,,,,Bravo 13,5/30/2022,Bravo 9
Absorber, ,Bueno,Sí,Cuartel Central,unidad 9,RTC,,,,,,,,,,Bravo 13,5/30/2022,Bravo 9
Absorber, ,Bueno,Sí,Cuartel Central,unidad 9,RTC,,,,,,,,,,Bravo 13,5/30/2022,Bravo 9
ABSORBICA-Y MGO 80cm (Cabos en Y con ganchos), ,Nuevo,Sí,Cuartel Central,Unidad 9,,,,,,,,,,,,,
Accesorios malacate, ,Bueno,Sí,Cuartel Central,Unidad 10,,,,,,,,,,,,,
Aceitera, ,Bueno,Sí,Destacamento,Taller,,,,,,,,,,,,,
Aceitera, ,Bueno,Sí,Destacamento,Taller,,,,,,,,,,,,,
Adaptador animales, ,Bueno,Sí,Destacamento,Unidad 13,,,,,,,,,,,,,
Adaptador animales, ,Bueno,Sí,Destacamento,Unidad 4,,,,,,,,,,,,,
Adaptador carga de combustible, ,Bueno,Sí,Destacamento,Galpón,,,,,,,,,,,,,
Adaptador eléctrico 220V americano - red, ,Bueno,Sí,Destacamento,Unidad 13,,,,,,,,,,,,,
Adaptador eléctrico 220V americano - red, ,Bueno,Sí,Cuartel Central,Unidad 14,,,,,,,,,,,,,
Adaptador eléctrico 220V americano - red, ,Bueno,Sí,Cuartel Central,Unidad 14,,,,,,,,,,,,,
Adaptador eléctrico 220V americano - red, ,Bueno,Sí,Cuartel Central,Unidad 7,,,,,,,,,,,,,
Adaptador eléctrico 220V americano - red (zapatilla 5 tomas), ,Bueno,Sí,Destacamento,Unidad 2,,,,,,,,,,,,,
Adaptador eléctrico 220V red - americano, ,Bueno,Sí,Cuartel Central,Unidad 10,,,,,,,,,,,,,
Adaptador eléctrico 220V red - americano, ,Bueno,Sí,Destacamento,Unidad 13,,,,,,,,,,,,,
Adaptador eléctrico 220V red - americano, ,Bueno,Sí,Destacamento,Unidad 13,,,,,,,,,,,,,
